,Smiles,C18-TFA,C18-NH4,CN-TFA,CN-NH4,Phen-TFA,Phen-NH4,AQ-TFA,AQ-NH4
289,CC1CN(CCN1)S(=O)(=O)C=2C=CC(C)=C(F)C2,1.815,2.448,1.7429999999999999,3.108,1.9659999999999997,2.546,1.9299999999999997,2.984
290,CC=1N=CSC1C(=O)NCC=2C=CC=CC2C,2.5260000000000002,2.581,2.538,2.583,2.594,2.639,2.751,2.806
291,CC(C)CN1C(CO)=NC=2C=CC=CC12,1.5190000000000001,2.427,1.3439999999999999,2.404,1.6640000000000001,2.504,1.626,2.807
292,CC(C)C=1C=COC1C(=O)N2CCOCC3(CC3)C2,3.2390000000000003,3.245,2.814,2.829,3.117,3.1189999999999998,3.335,3.3440000000000003
293,CC1(C)CCCN(C1)C(=O)CN2CCNCC2=O,1.4180000000000001,1.5660000000000003,0.978,1.822,1.4969999999999999,1.6759999999999997,1.5070000000000001,2.0709999999999997
294,OC1CNC(C1)C(=O)N2CCCC3(CCCCC3)C2,1.899,1.999,1.6629999999999998,3.8510000000000004,1.999,2.11,2.027,3.4109999999999996
295,CC1CCCN(CC=2N=NSC2Cl)C1,1.1030000000000002,3.6420000000000003,0.746,2.888,1.2799999999999998,3.178,1.1400000000000001,3.8579999999999997
296,CC=1C=CC(=CC1F)C(=O)N2CCCCC2CN,1.642,1.4500000000000002,1.52,4.461,1.741,1.6600000000000001,1.7690000000000001,3.078
297,OC(=O)[C@@H]1CCCN1C(=O)C=2C=CC=CC2Br,2.15,1.182,2.012,0.504,2.302,1.27,2.29,1.2519999999999998
298,CN(C1CCNC1)S(=O)(=O)C=2C=CC(C)=CC2Cl,1.871,1.7810000000000001,1.787,4.5329999999999995,2.002,1.9889999999999999,1.9969999999999999,3.311
299,CC1CCCN(C1)C(=O)C=2C=CC=NC2O,1.4810000000000003,1.4810000000000003,1.314,1.35,1.569,1.573,1.6520000000000001,1.693
300,CC1(C)COCCN1C(=O)C=2C=C(Cl)C=CC2F,3.2680000000000002,3.2720000000000002,2.8770000000000002,2.887,3.184,3.2009999999999996,3.3209999999999997,3.3419999999999996
